application_id,application_date,device_type,device_age_years,device_msrp,lease_term_months,monthly_payment,residual_value,credit_tier,credit_score,monthly_income,employment_type,existing_monthly_debt,dti_ratio,credit_utilization,prior_leases_completed,prior_defaults,region,defaulted
APP-00211,10/30/2024,iPhone13,2,599,36,16.17,196.28,FAIR,638,0,parttime,,,0.12,5,0,northeast,0
APP-01269,1/25/2024,Samsung Galaxy S22,2,649,24 months,32.13,265.83,low,302,650,unemployed,161,0.297,0.74,3,0,Northeast,0
APP-01407,2/6/2024,IPHONE 14,1,799,24 months,32.36,409.09,fair,583,2492,part_time,525,0.224,,2,1,SOUTHWEST,1
APP-01879,8/22/2024,Samsung Galaxy S22,2,649,36,11.68,212.66,excellent,754,3396,Part Time,,,0.21,4,0,MIDWEST,0
APP-01210,2/7/2024,ipad pro,1,1099,36,29.67,450.15,Fair,635,1634,PART_TIME,349,0.232,0.18,1,0,W,0
APP-01136,9/11/2024,iphone 14,1,799,24,32.36,409.09,fair,617,787,Unemployed,,,0.65,4,0,MIDWEST,0
APP-01632,3/25/2024,Surface Pro,,1599,36,43.17,523.96,fair,655,1155,Part Time,384,0.37,0.94,3,1,West,0
APP-00097,10/28/2024,samsung galaxy s23,1,849,24,28.02,,GOOD,679,4642,Self Employed,322,0.075,0.63,5,0,,0
APP-00112,8/21/2024,Samsung Galaxy S22,2,649,12,52.57,,FAIR,600,2354,parttime,13,0.028,0.8,4,0,W,0
APP-01062,8/21/2024,samsung galaxy s23,1,849,36 months,18.68,347.75,gd,707,2811,Part Time,860,0.313,0.21,2,0,North East,0
APP-00444,4/5/2024,IPAD PRO,1,1099,24,44.51,562.69,FAIR,626,1148,Part Time,,,0.69,4,0,Northeast,0
APP-01595,1/29/2024,ipad pro,1,1099,12,72.53,,gd,670,,STUDENT,,,0.87,4,0,NORTHEAST,0
APP-00638,2/15/2024,Apple iPad Pro,1,1099,24,29.67,562.69,exc,844,4423,Full Time,1304,0.302,0.16,,0,southeast,0
APP-01501,2/19/2024,Galaxy S22,2,649,36,17.52,212.66,average,645,4893,SELF_EMPLOYED,1644,0.34,0.93,,1,SOUTHEAST,0
APP-01285,9/8/2024,IPAD PRO,1,1099,12,59.35,703.36,EXCELLENT,754,2722,parttime,526,0.215,0.28,3,0,SOUTHEAST,0
APP-01693,8/6/2024,iphone 13,2,599,24,19.77,245.35,Good,676,532,UNEMPLOYED,,,0.19,0,0,SE,0
APP-00150,6/2/2024,MacBook Air,2,1299,36,35.07,425.66,average,621,3253,parttime,520,0.171,,,0,Northeast,0
APP-01077,8/22/2024,Galaxy S22,2,649,12,42.83,332.29,good,683,8794,fulltime,2178,0.253,0.34,1,0,SOUTHEAST,0
APP-01919,3/10/2024,ipad pro,1,1099,12,59.35,703.36,EXCELLENT,797,4232,SELF_EMPLOYED,395,0.107,0.07,4,0,SOUTHEAST,0
APP-00766,12/13/2024,Apple iPhone 14,1,799,12,43.15,511.36,excellent,768,3584,self_employed,594,0.178,0.15,5,0,Southwest,0
APP-00896,3/11/2024,Galaxy S23,1,849,12,84.05,543.36,Poor,356,207,UNEMPLOYED,81,0.797,0.85,0,2,Midwest,1
APP-00878,6/16/2024,iphone 14,1,799,12 months,64.72,511.36,Fair,644,588,Student,205,0.459,0.57,3,1,MIDWEST,0
APP-00242,3/30/2024,Galaxy S22,2,649,36,11.68,212.66,Excellent,809,5079,SELF_EMPLOYED,377,-999,0.06,1,0,WEST,0
APP-01145,9/13/2024,samsung galaxy s23,1,849,12,84.05,543.36,low,396,92,Unemployed,11,1.033,,1,3,Southeast,1
APP-00597,12/4/2025,iPhone13,2,,24,16.17,245.35,Excellent,828,10956,FULL_TIME,916,0.085,0.3,4,0,NORTHEAST,0
APP-01767,3/16/2024,Dell XPS-13,3,1199,0,64.75,491.11,excellent,814,295,UNEMPLOYED,19,0.284,0.1,3,0,SOUTHEAST,0
APP-01060,4/8/2024,IPAD PRO,1,1099,36 months,29.67,450.15,average,651,1371,parttime,511,0.394,0.42,5,1,Midwest,0
APP-00601,7/23/2024,iPhone13,2,599,12,39.53,306.69,gd,722,9864,FULL_TIME,2184,0.225,0.32,,0,midwest,0
APP-00692,1/22/2024,iphone 13,2,599,12,32.35,306.69,excellent,825,1586,part_time,23,0.035,0.28,3,0,WEST,0
APP-01941,10/22/2024,Galaxy S22,2,649,12 months,64.25,332.29,POOR,364,1996,STUDENT,733,0.399,0.89,4,1,WEST,1
APP-01769,1/24/2024,samsung galaxy s23,1,849,12 months,56.03,543.36,good,747,3173,full_time,491,0.172,0.57,1,0,northeast,0
APP-01763,7/12/2024,Galaxy S22,2,649,36 months,21.42,212.66,POOR,524,3191,parttime,,,0.58,3,0,midwest,0
APP-00362,1/20/2024,ipad pro,1,1099,12,59.35,703.36,EXCELLENT,843,1344,Part Time,129,0.14,0.13,1,0,West,0
APP-01991,8/9/2024,iPhone 13,2,599,36,19.77,196.28,Poor,482,571,Student,161,0.317,0.77,3,2,midwest,0
APP-00702,7/14/2024,iPhone 13,2,599,36,16.17,196.28,average,584,9100,self_employed,2876,0.318,0.79,1,1,North East,1
APP-00654,1/25/2024,Dell XPS-13,3,1199,24,48.56,392.89,fair,600,111,Unemployed,14,0.564,0.47,0,1,MIDWEST,0
APP-01131,7/17/2024,Galaxy S22,2,649,12 months,42.83,332.29,good,0,1347,Student,91,0.099,0.42,2,0,NE,0
APP-00106,2/25/2024,IPHONE 14,1,799,12 months,79.1,511.36,Poor,304,9921,SELF_EMPLOYED,1127,0.122,0.65,0,3,southwest,1
APP-00425,7/24/2025,DELL XPS13,3,1199,24,39.57,392.89,good,675,3335,Part Time,611,0.195,0.85,0,0,SOUTHEAST,0
APP-00078,11/10/2024,MS Surface Pro,2,0,36,43.17,523.96,FAIR,585,2895,SELF_EMPLOYED,336,0.131,0.51,3,1,Northeast,0
APP-01036,11/15/2024,dell xps 13,3,1199,24 months,39.57,392.89,GOOD,691,3500,Full Time,618,0.188,0.61,2,0,Southwest,0
APP-00678,5/30/2024,Apple iPad Pro,1,1099,12,72.53,703.36,Good,717,961,unemployed,114,0.194,0.21,3,0,Midwest,0
APP-00689,10/14/2024,Surface Pro,2,1599,36,28.78,523.96,excellent,836,553,unemployed,210,0.432,0.12,1,0,southeast,0
APP-01331,11/27/2024,microsoft surface pro,2,1599,24 months,52.77,654.95,GOOD,685,1425,Student,198,0.176,0.41,3,0,West,0
APP-00345,9/4/2024,iPhone 14,1,799,36,14.38,327.27,Excellent,762,2325,PART_TIME,,,0.13,2,0,North East,0
APP-01457,3/23/2024,iPhone13,2,599,24,29.65,245.35,POOR,572,818,Student,138,0.205,0.6,2,1,Southwest,1
APP-01737,1/5/2024,MacBook Air,2,1299,12,128.6,665.09,Poor,393,4320,Self Employed,942,0.248,0.75,5,1,Southwest,1
APP-01993,12/24/2024,MacBook Air,2,1299,12 months,70.15,665.09,EXCELLENT,817,8248,self_employed,1149,0.148,0.1,2,0,NORTHEAST,0
APP-01084,2/13/2024,Samsung Galaxy S23,1,849,12,68.77,543.36,average,604,1905,part_time,114,0.096,0.94,2,0,WEST,1
APP-01453,10/24/2024,iPhone13,2,599,12,48.52,306.69,average,,1481,parttime,377,0.287,0.06,1,0,southwest,0
APP-00951,2/3/2024,Samsung Galaxy S22,2,649,24 months,21.42,265.83,Good,738,1636,STUDENT,,,0.85,5,0,SOUTHWEST,0
APP-01684,4/21/2024,Galaxy S23,1,849,36,15.28,347.75,EXCELLENT,796,8583,fulltime,3318,0.388,0.05,1,0,midwest,0
APP-00126,3/12/2024,Apple iPad Pro,1,1099,12,72.53,703.36,GOOD,724,2133,parttime,137,0.098,0.48,3,0,west,0
APP-00376,7/14/2024,MAC Book Air,2,1299,24,52.61,532.07,average,619,1327,student,418,0.355,0.93,1,0,Southeast,0
APP-01394,7/30/2024,ipad pro,1,1099,36 months,36.27,450.15,poor,476,N/A,Part Time,,,0.71,2,,midwest,0
APP-01341,12/16/2024,iphone 13,2,99999,12,39.53,306.69,GOOD,674,185,Unemployed,5,0.241,0.39,2,0,Southwest,0
APP-01540,5/10/2024,iphone 14,1,799,12,79.1,511.36,Poor,472,1373,Student,395,0.345,0.92,0,3,SOUTHEAST,0
APP-01550,4/1/2024,ipad pro,1,1099,12,72.53,703.36,good,699,7254,self_employed,203,0.038,0.29,0,0,WEST,0
APP-01267,11/28/2024,Galaxy S22,2,649,12,64.25,332.29,Poor,484,1248,Part Time,91,0.124,0.77,,0,MIDWEST,0
APP-00592,7/10/2024,Dell XPS-13,3,1199,12,97.12,491.11,average,604,2187,Part Time,453,0.252,0.32,4,1,WEST,0
APP-01867,10/12/2024,ipad pro,1,1099,-1,29.67,450.15,average,609,4148,SELF_EMPLOYED,932,0.232,0.13,2,0,WEST,0
APP-00613,3/5/2024,Dell XPS-13,3,1199,24,48.56,392.89,Fair,663,304,UNEMPLOYED,120,0.554,0.7,2,1,southwest,0
APP-01113,7/10/2024,MS Surface Pro,2,1599,12,158.3,818.69,bad,467,5122,FULL_TIME,560,0.14,,2,1,SOUTHWEST,1
APP-01958,8/16/2024,Samsung Galaxy S22,,649,36,21.42,212.66,bad,320,2277,SELF_EMPLOYED,248,0.118,0.61,0,2,Southeast,0
APP-01409,2/20/2024,Surface Pro,2,1599,24,43.17,654.95,Excellent,750,8257,FULL_TIME,3062,0.376,0.18,3,0,NORTHEAST,0
APP-00578,8/3/2024,Samsung Galaxy S22,2,649,36,21.42,212.66,bad,572,485,UNEMPLOYED,42,0.131,0.87,5,1,Southeast,1
APP-01281,3/24/2024,MAC Book Air,2,1299,24,52.61,532.07,Fair,613,857,Student,293,0.403,0.2,,1,Southeast,0
APP-01546,3/10/2024,Dell XPS 13,3,1199,24,39.57,392.89,GOOD,707,3354,self_employed,488,0.157,0.68,2,0,Southeast,0
APP-00602,2/9/2026,Apple iPad Pro,1,1099,36 months,24.18,450.15,GOOD,698,7880,fulltime,2372,99999,0.61,3,0,Midwest,0
APP-01204,12/22/2024,Apple iPhone 14,1,799,12,64.72,511.36,FAIR,585,6521,Self Employed,2268,0.358,0.48,3,0,Southeast,0
APP-01883,5/26/2024,IPAD PRO,1,1099,36,,450.15,EXCELLENT,839,978,UNEMPLOYED,6,0.026,0.08,2,0,Northeast,0
APP-00300,8/20/2024,Samsung Galaxy S23,1,849,36 months,28.02,347.75,POOR,523,4700,full_time,33,0.013,0.85,4,0,MIDWEST,1
APP-01151,2/3/2024,samsung galaxy s23,1,849,36,22.92,347.75,Fair,611,10106,fulltime,1034,0.105,0.25,0,0,N/A,0
APP-00741,7/12/2024,Samsung Galaxy S23,1,849,12,56.03,543.36,good,728,,Self Employed,,,0.65,5,0,W,0
APP-01482,8/16/2024,iPhone 14,1,799,12,52.73,511.36,Good,687,8201,self_employed,,,,0,0,Southeast,0
APP-00833,3/22/2024,Samsung Galaxy S23,1,849,36,22.92,347.75,average,660,2348,SELF_EMPLOYED,87,0.047,0.92,0,0,SOUTHEAST,0
APP-01545,6/7/2024,IPAD PRO,1,1099,24,44.51,562.69,fair,645,181,UNEMPLOYED,16,0.334,0.51,0,1,west,1
APP-01279,9/1/2024,MacBook Air,2,1299,24,42.87,532.07,good,686,4315,FULL_TIME,655,0.162,0.14,5,0,NE,0
APP-01583,11/26/2024,iphone 14,1,799,36,21.57,327.27,FAIR,663,686,Student,45,0.097,0.43,2,0,West,0
APP-01845,10/3/2024,samsung galaxy s23,1,849,36 months,15.28,,EXCELLENT,804,3199,Part Time,252,0.084,0.18,1,0,West,0
APP-01525,12/29/2024,IPAD PRO,1,1099,36,29.67,450.15,Fair,645,1759,student,306,0.191,0.68,3,1,Midwest,0
APP-00525,2/15/2024,iPhone 13,2,599,24,19.77,245.35,gd,745,1533,STUDENT,401,0.274,0.89,,0,west,0
APP-01826,5/29/2024,Apple iPhone 14,1,,36,14.38,,exc,821,746,Student,216,0.309,0.19,4,0,southwest,0
APP-01957,2/15/2024,MacBook Air,2,1299,36 months,28.58,425.66,good,705,1560,STUDENT,302,0.212,0.43,0,,Midwest,0
APP-00881,2/23/2024,Samsung Galaxy S22,2,649,36,14.28,212.66,good,726,1528,student,1,0.01,0.09,0,0,Northeast,0
APP-00216,1/23/2024,Galaxy S22,2,649,12,35.05,332.29,exc,759,4328,self_employed,1393,0.33,0.08,3,,Southeast,0
APP-01906,4/27/2024,iphone 14,1,799,24,21.57,409.09,Excellent,806,11959,full_time,4421,0.371,0.21,,,southeast,0
APP-00938,10/30/2024,iphone 13,2,599,24,19.77,245.35,gd,692,11086,Full Time,1052,0.097,0.07,5,0,Northeast,0
APP-00077,3/13/2024,Macbook Air,2,1299,24,64.3,532.07,poor,350,594,UNEMPLOYED,56,0.203,0.79,3,2,mid west,1
APP-00741,7/12/2024,Samsung Galaxy S23,1,849,12,56.03,543.36,good,728,,Self Employed,,,0.65,5,0,W,0
APP-01552,5/7/2024,Samsung Galaxy S22,2,649,12,52.57,332.29,Fair,588,9558,SELF_EMPLOYED,195,0,0.3,3,,NE,0
APP-00829,7/16/2024,Surface Pro,2,1599,24,64.76,654.95,fair,609,1205,Student,363,0.355,0.88,5,1,west,0
APP-01803,7/4/2024,microsoft surface pro,2,1599,24,52.77,654.95,GOOD,739,2554,part_time,40,0.036,0.51,2,0,Southwest,0
APP-00312,2/26/2024,DELL XPS13,3,1199,24,39.57,392.89,gd,734,1257,Student,332,0.296,0.22,2,0,West,0
APP-00179,7/19/2024,Galaxy S22,2,649,12,64.25,332.29,bad,355,2808,part_time,,,,,3,SOUTHEAST,1
APP-01576,6/23/2024,iphone 13,2,599,36 months,19.77,196.28,Poor,548,5737,Self Employed,784,0.14,0.8,3,0,northeast,0
APP-01268,1/1/2024,iphone 13,2,599,24 months,16.17,245.35,excellent,805,983,Unemployed,123,0.142,,3,,south east,0
APP-00696,9/10/2024,microsoft surface pro,2,1599,36,,523.96,exc,765,589,UNEMPLOYED,111,0.237,0.17,0,0,north east,0
APP-01338,9/3/2024,Galaxy S22,2,649,24 months,32.13,265.83,bad,484,1623,STUDENT,224,0.158,0.65,0,2,northeast,0
APP-01147,10/10/2024,MAC Book Air,2,1299,24,64.3,532.07,Poor,452,179,UNEMPLOYED,21,0.477,0.79,5,2,NORTHEAST,1
APP-00540,1/16/2024,Microsoft Surface Pro,2,1599,12,86.35,818.69,Excellent,822,728,unemployed,108,0.267,0.05,0,0,Midwest,0
APP-01025,5/2/2024,iPhone 13,2,599,36,10.78,196.28,EXCELLENT,804,2230,Self Employed,460,0.211,0.17,4,0,WEST,0
APP-01536,6/10/2024,Microsoft Surface Pro,2,1599,36,35.18,523.96,GOOD,695,N/A,student,,,0.43,3,0,Midwest,0
APP-00772,1/2/2024,Samsung Galaxy S22,2,649,24,17.52,265.83,Excellent,831,2613,parttime,50,0.026,0.09,2,0,midwest,0
APP-00486,9/27/2024,Apple iPad Pro,1,1099,36,29.67,450.15,fair,635,497,unemployed,124,0.309,0.86,0,1,SE,0
APP-00932,5/22/2024,Galaxy S22,2,649,24,21.42,265.83,good,690,5811,SELF_EMPLOYED,,,0.43,2,0,N/A,0
APP-00380,2/21/2024,iPad Pro,1,1099,12 months,59.35,703.36,excellent,751,6787,self_employed,1337,0.206,0.3,5,0,NORTHEAST,0
APP-00724,10/1/2024,dell xps 13,3,1199,12,97.12,491.11,FAIR,657,2,Unemployed,1,49.06,0.93,5,1,NORTHEAST,1
APP-01010,7/30/2024,Galaxy S23,1,849,24,22.92,434.69,EXCELLENT,786,1385,Student,279,0.218,0.21,1,0,midwest,0
APP-00532,7/26/2024,MAC Book Air,2,1299,24 months,64.3,532.07,Poor,307,8195,Self Employed,2201,0.276,0.67,4,1,northeast,0
APP-00779,1/7/2026,DELL XPS13,3,1199,12 months,97.12,491.11,FAIR,644,3240,PART_TIME,1290,0.428,0.5,4,1,Midwest,0
APP-00001,6/23/2024,iPhone 13,2,599,12,32.35,306.69,EXCELLENT,781,604,unemployed,7,0.065,0.22,3,0,WEST,0
APP-01434,2/21/2024,Galaxy S22,2,649,24 months,17.52,265.83,excellent,800,2639,Part Time,330,0.132,0.34,5,0,NE,0
APP-00475,1/6/2024,iPhone13,2,599,12,48.52,306.69,FAIR,650,786,student,112,0.204,0.18,4,1,southeast,0
APP-01057,5/9/2024,Macbook Air,2,1299,24 months,42.87,,GOOD,673,1863,STUDENT,599,0.345,0.79,2,0,Midwest,0
APP-00025,7/25/2024,Samsung Galaxy S23,,849,36,28.02,347.75,POOR,392,1462,student,341,0.252,0.71,,3,Southeast,0
APP-00108,3/18/2024,samsung galaxy s23,1,849,12 months,68.77,543.36,Fair,625,4134,Self Employed,949,0.246,0.83,1,0,Midwest,0
APP-00817,6/3/2024,Microsoft Surface Pro,2,1599,12 months,105.53,818.69,Good,689,4445,Full Time,,,0.46,0,0,Southeast,1
APP-01362,1/20/2024,Apple iPhone 14,1,799,36,14.38,327.27,EXCELLENT,758,,self_employed,,,0.25,1,0,southeast,0
APP-01155,7/20/2024,iphone 13,2,599,36,19.77,196.28,bad,-999,5231,Self Employed,2064,0.398,0.68,2,1,West,1
APP-00642,7/31/2024,microsoft surface pro,2,1599,12,129.52,818.69,fair,660,957,Student,84,0,0.55,0,1,WEST,1
APP-00870,2/7/2024,iPhone13,2,599,36,19.77,196.28,Poor,388,535,student,110,0.243,0.58,5,2,West,1
APP-00740,6/23/2024,SAMSUNG S23,1,849,12 months,84.05,543.36,poor,301,11893,fulltime,2260,0.197,0.71,0,1,N/A,1
APP-01604,7/27/2024,iPhone 13,2,599,12,39.53,306.69,gd,730,822,STUDENT,239,0.339,0.53,5,0,Southwest,0
APP-00950,11/22/2024,MS Surface Pro,2,1599,24,43.17,654.95,excellent,761,7650,Full Time,1383,0.186,0.12,4,0,SOUTHEAST,0
APP-00477,6/13/2024,Apple iPhone 14,1,799,36,21.57,327.27,average,585,3045,full_time,503,0.172,0.13,3,1,northeast,1
APP-01447,5/26/2024,MS Surface Pro,2,1599,36,43.17,523.96,FAIR,605,,FULL_TIME,,,0.63,2,0,West,0
APP-00663,12/21/2024,Dell XPS-13,3,1199,36,26.38,314.31,gd,692,0,self_employed,,,0.3,,0,Midwest,0
APP-01055,12/8/2024,iphone 14,1,799,12,79.1,511.36,bad,352,1135,part_time,65,0.127,0.62,1,3,Midwest,0
APP-01740,7/6/2024,iPhone 14,1,799,12,43.15,511.36,Excellent,782,11667,full_time,3311,0.287,0.15,2,0,southwest,0
APP-01534,2/18/2024,IPHONE 14,1,799,24,21.57,409.09,EXCELLENT,844,2639,PART_TIME,930,0.361,0.08,2,0,SW,0
APP-01355,6/10/2024,iPhone 13,2,599,24,19.77,,GOOD,728,5794,self_employed,361,0.066,0.07,1,0,west,0
APP-01675,8/24/2024,Macbook Air,2,1299,12,85.73,665.09,gd,712,7657,Self Employed,2183,0.296,0.52,3,0,SOUTHWEST,0
APP-00332,3/30/2024,macbook air,2,1299,999,,665.09,average,639,7224,Self Employed,892,0.138,0.12,3,1,MIDWEST,0
APP-00647,7/8/2024,iPhone13,2,599,12,59.3,306.69,POOR,0,518,Unemployed,92,0.292,0.57,5,3,Southeast,1
APP-01509,4/8/2024,Samsung Galaxy S22,2,649,24,26.28,265.83,fair,656,8788,self_employed,2314,0.266,0.31,0,0,MIDWEST,0
APP-00946,6/22/2024,samsung galaxy s23,1,849,24 months,,434.69,POOR,474,3437,Self Employed,1025,0.31,0.92,0,1,southeast,1
APP-01909,9/15/2024,Surface Pro,2,1599,36 months,43.17,523.96,Fair,622,2557,SELF_EMPLOYED,588,0.247,0.5,3,1,Southwest,0
APP-01169,4/12/2024,Samsung Galaxy S22,2,649,36,17.52,212.66,Fair,620,1142,student,17,0.03,,4,0,Southeast,0
APP-01968,10/3/2024,dell xps 13,3,1199,24,39.57,392.89,Good,698,11,Unemployed,1,3.688,0.07,1,0,Northeast,0
APP-00755,3/14/2024,microsoft surface pro,2,1599,24,79.15,654.95,low,336,1386,part_time,281,,0.62,3,2,North East,0
APP-01569,7/21/2024,microsoft surface pro,2,1599,12,86.35,818.69,exc,798,9430,FULL_TIME,2393,0.263,0.31,1,0,North East,0
APP-00840,4/19/2024,MacBook Air,2,1299,36,,425.66,gd,721,2993,parttime,753,0.261,0.68,0,,northeast,0
APP-01374,5/14/2024,iPhone 14,1,799,24,39.55,409.09,Poor,400,2049,Part Time,293,0.162,0.6,1,1,southeast,0
APP-00164,8/30/2024,dell xps 13,3,1199,999,39.57,314.31,POOR,479,8473,Self Employed,1229,0.15,0.82,1,0,south east,0
APP-01886,12/22/2024,Microsoft Surface Pro,2,1599,24,43.17,654.95,exc,793,11943,full_time,3853,0.326,0.25,4,0,WEST,0
APP-01521,3/31/2025,microsoft surface pro,2,1599,36,52.77,523.96,poor,300,135,unemployed,43,0.709,,2,,Midwest,1
APP-01348,10/6/2024,MacBook Air,2,1299,12,85.73,665.09,gd,678,834,STUDENT,141,0.272,0.93,0,0,MW,0
APP-00668,1/17/2024,Surface Pro,2,1599,12,105.53,818.69,gd,704,6721,FULL_TIME,1381,0.221,0.72,5,0,south east,0
APP-01513,6/15/2024,microsoft surface pro,2,1599,12,105.53,818.69,good,681,4416,Full Time,779,0.2,0.38,2,0,NORTHEAST,0
APP-00622,10/16/2024,Dell XPS-13,3,1199,12 months,79.13,491.11,GOOD,691,1348,Part Time,364,0.329,0.29,5,,N/A,0
APP-00496,1/2/2024,Macbook Air,2,1299,36,42.87,425.66,POOR,417,11922,fulltime,3511,0.298,,3,3,Northeast,1
APP-01088,3/22/2024,Microsoft Surface Pro,2,1599,36,52.77,523.96,POOR,484,585,student,163,0.369,0.64,3,1,Northeast,0
APP-00727,3/19/2024,Galaxy S22,2,649,999,42.83,332.29,GOOD,703,6198,Full Time,2057,0.339,0.63,0,0,West,0
APP-01007,3/3/2024,iPhone13,2,599,36,16.17,196.28,fair,668,601,STUDENT,72,0.147,0.27,2,1,Midwest,0
APP-01764,2/17/2024,iPhone 13,2,599,12,39.53,306.69,Good,687,2793,self_employed,1007,0.375,0.56,2,0,Northeast,0
APP-01215,11/24/2024,dell xps 13,3,1199,12,97.12,491.11,FAIR,630,2273,Part Time,506,0.265,0.18,4,1,Northeast,0
APP-01076,5/5/2024,SAMSUNG S23,1,849,999,84.05,543.36,POOR,441,708,Unemployed,87,0.242,0.64,3,,MIDWEST,0
APP-01461,5/3/2024,MS Surface Pro,2,1599,12,105.53,818.69,good,683,7628,self_employed,616,0.095,0.38,3,0,Southwest,0
APP-01118,2/26/2024,samsung galaxy s23,1,849,24,22.92,434.69,Excellent,803,1431,Student,426,0.314,0.16,0,0,southeast,0
APP-01438,8/30/2024,ipad pro,1,1099,12 months,108.8,703.36,poor,402,1003,parttime,252,0.36,0.59,2,2,Northeast,0
APP-01247,8/10/2024,iphone 13,2,99999,36,19.77,196.28,bad,364,1437,Student,409,0.298,0.6,2,2,SOUTHWEST,1
APP-01316,10/17/2024,microsoft surface pro,2,1599,12,,818.69,Excellent,840,6460,SELF_EMPLOYED,325,0.064,,3,0,Midwest,0
APP-01445,3/8/2024,MS Surface Pro,2,1599,12,86.35,818.69,excellent,828,1441,PART_TIME,441,0.366,0.2,,0,Northeast,0
APP-01404,7/5/2024,Samsung Galaxy S22,2,649,12 months,42.83,332.29,good,707,1291,parttime,272,0.244,0.6,3,0,,0
APP-00533,5/23/2024,Dell XPS-13,3,1199,12,97.12,491.11,Fair,586,1716,part_time,185,0.164,0.44,1,1,West,1
APP-01391,10/7/2024,iPhone13,2,599,36,10.78,196.28,excellent,849,3702,Self Employed,1392,0.379,0.32,1,0,MIDWEST,0
APP-00244,7/10/2024,Apple iPad Pro,1,1099,36 months,24.18,450.15,Good,676,907,UNEMPLOYED,41,0.072,0.6,5,0,MIDWEST,0
APP-01045,8/4/2024,ipad pro,1,1099,12,59.35,703.36,Excellent,818,2219,parttime,381,0.198,0.09,5,0,WEST,0
